Class	Node Name
2.000000	263584
2.000000	263321
1.000000	6762
1.000000	3257
1.000000	20080
2.000000	50877
2.000000	6720
2.000000	1853
2.000000	15605
2.000000	12874
1.000000	14907
1.000000	1299
1.000000	29075
1.000000	6453
1.000000	12389
1.000000	25227
1.000000	1273
1.000000	29226
1.000000	3333
1.000000	8426
1.000000	12654
1.000000	1136
1.000000	1103
2.000000	2603
2.000000	513
1.000000	20562
1.000000	286
1.000000	22381
1.000000	53070
1.000000	4809
1.000000	57866
1.000000	8283
1.000000	4657
1.000000	4637
1.000000	24482
1.000000	2895
1.000000	6894
1.000000	2497
2.000000	8167
2.000000	7738
2.000000	25933
1.000000	3491
1.000000	38001
1.000000	22652
1.000000	3356
1.000000	8359
1.000000	50300
1.000000	8455
1.000000	25091
1.000000	37271
1.000000	41095
1.000000	49605
1.000000	51185
1.000000	8607
1.000000	30781
1.000000	3549
1.000000	6730
1.000000	9002
2.000000	5396
1.000000	20764
1.000000	34177
1.000000	16347
2.000000	25220
1.000000	25160
1.000000	29608
1.000000	57111
2.000000	680
1.000000	24611
1.000000	9304
2.000000	52720
2.000000	5392
2.000000	52873
1.000000	4134
2.000000	29686
2.000000	20932
1.000000	47692
2.000000	28634
2.000000	10429
2.000000	12637
1.000000	174
1.000000	33891
2.000000	35054
1.000000	202032
1.000000	205206
1.000000	42525
1.000000	8896
1.000000	37100
1.000000	327782
2.000000	29222
2.000000	3303
1.000000	34549
1.000000	39392
1.000000	29504
1.000000	51405
2.000000	35699
1.000000	5413
1.000000	12859
1.000000	701
1.000000	39351
1.000000	42708
1.000000	24785
2.000000	8220
2.000000	29680
2.000000	30844
1.000000	327960
1.000000	39821
1.000000	28917
1.000000	196621
1.000000	8758
1.000000	56730
1.000000	51945
1.000000	15576
1.000000	198385
1.000000	21232
1.000000	198249
1.000000	1221
1.000000	4608
2.000000	43578
2.000000	6461
2.000000	7575
1.000000	20612
1.000000	1836
2.000000	23106
1.000000	4766
1.000000	64050
2.000000	1764
2.000000	12956
1.000000	12586
1.000000	2914
2.000000	3320
1.000000	7018
1.000000	59689
1.000000	3252
1.000000	198290
1.000000	6661
1.000000	37468
1.000000	13030
1.000000	50304
1.000000	15435
2.000000	52320
1.000000	49375
1.000000	15685
1.000000	8943
2.000000	16735
1.000000	13193
1.000000	14061
2.000000	47147
2.000000	553
1.000000	15547
1.000000	5400
1.000000	6939
2.000000	13237
2.000000	35369
1.000000	202194
1.000000	40191
1.000000	395766
1.000000	51395
1.000000	59891
1.000000	1251
1.000000	52888
2.000000	41497
1.000000	37497
2.000000	1916
1.000000	8218
1.000000	31742
2.000000	29140
1.000000	19151
2.000000	12350
1.000000	12779
1.000000	13760
2.000000	6667
1.000000	64463
1.000000	30132
1.000000	14007
2.000000	1280
1.000000	50763
2.000000	262757
2.000000	4777
1.000000	39540
1.000000	57118
1.000000	12307
2.000000	8222
1.000000	59414
1.000000	49463
1.000000	2110
1.000000	58299
1.000000	28329
1.000000	29691
2.000000	34288
2.000000	266534
2.000000	18881
1.000000	395152
1.000000	41722
1.000000	15562
1.000000	25152
1.000000	6881
1.000000	48526
2.000000	28220
1.000000	31424
1.000000	6893
1.000000	2613
1.000000	39122
1.000000	57821
2.000000	52863
