Class	Node Name
1.000000	1273
1.000000	1299
1.000000	12586
1.000000	57821
1.000000	20676
1.000000	21385
1.000000	5539
1.000000	2603
1.000000	51395
1.000000	59891
1.000000	174
1.000000	17579
1.000000	7660
1.000000	24489
2.000000	7575
2.000000	6939
1.000000	29686
1.000000	6453
2.000000	6730
2.000000	6893
2.000000	29691
1.000000	49463
1.000000	28329
1.000000	3549
1.000000	8758
1.000000	20932
1.000000	12874
1.000000	15605
1.000000	3303
1.000000	41617
1.000000	31261
1.000000	34781
1.000000	25091
1.000000	559
1.000000	20965
1.000000	21320
1.000000	12654
1.000000	37271
1.000000	37468
1.000000	16347
1.000000	29075
2.000000	20080
2.000000	52873
2.000000	18881
2.000000	52720
1.000000	12779
1.000000	15576
1.000000	8220
1.000000	196621
1.000000	34288
2.000000	12956
1.000000	30781
1.000000	59689
1.000000	5511
1.000000	34019
2.000000	62567
2.000000	30844
1.000000	24490
2.000000	37239
1.000000	8763
1.000000	50620
1.000000	41722
1.000000	20764
1.000000	9002
1.000000	2914
1.000000	1103
1.000000	3333
1.000000	11537
2.000000	37640
1.000000	4589
1.000000	20612
1.000000	1836
2.000000	16735
2.000000	22548
2.000000	262757
2.000000	24482
2.000000	4657
1.000000	8607
2.000000	53067
1.000000	202032
1.000000	513
1.000000	31122
1.000000	3257
1.000000	8455
1.000000	22652
1.000000	3356
1.000000	49605
1.000000	20562
1.000000	24785
1.000000	8732
1.000000	13002
1.000000	57381
1.000000	50304
1.000000	6720
1.000000	1853
1.000000	12859
1.000000	29608
1.000000	58299
1.000000	198385
1.000000	202194
1.000000	553
1.000000	680
1.000000	198290
2.000000	1916
1.000000	286
1.000000	25074
1.000000	9189
2.000000	1280
1.000000	25160
1.000000	31424
1.000000	43100
1.000000	6881
1.000000	25512
1.000000	8426
1.000000	13030
1.000000	51405
1.000000	6830
1.000000	3320
1.000000	12637
2.000000	15547
2.000000	1251
2.000000	28571
2.000000	53070
2.000000	12989
1.000000	21396
1.000000	6762
1.000000	31133
1.000000	42708
1.000000	28917
1.000000	7018
1.000000	6461
2.000000	25152
1.000000	6667
1.000000	31463
1.000000	50300
1.000000	56730
1.000000	22388
1.000000	8928
1.000000	8596
1.000000	48039
1.000000	25220
2.000000	2613
1.000000	701
1.000000	2497
1.000000	35369
2.000000	9304
2.000000	198249
1.000000	52863
2.000000	263152
1.000000	15435
2.000000	47872
2.000000	263075
2.000000	23106
2.000000	52320
1.000000	5396
1.000000	64396
1.000000	8218
2.000000	262317
1.000000	29636
1.000000	10764
1.000000	48526
1.000000	29680
1.000000	41497
1.000000	19151
1.000000	29140
1.000000	2857
2.000000	50763
2.000000	264911
2.000000	263651
2.000000	14061
