Class	Node Name
2.000000	37468
2.000000	37271
2.000000	2857
2.000000	8365
2.000000	24785
2.000000	20562
2.000000	1299
2.000000	57821
2.000000	12586
2.000000	43531
2.000000	8596
1.000000	6939
2.000000	24611
2.000000	3549
2.000000	51405
1.000000	174
1.000000	64396
1.000000	50620
2.000000	3356
1.000000	25160
1.000000	43100
2.000000	49605
2.000000	58299
2.000000	13030
2.000000	9002
2.000000	34288
2.000000	41722
2.000000	198249
2.000000	28917
2.000000	8359
2.000000	41617
2.000000	198290
2.000000	2914
2.000000	56730
2.000000	51945
2.000000	29636
2.000000	12859
2.000000	16347
2.000000	8607
2.000000	50300
2.000000	20485
2.000000	13002
2.000000	15435
2.000000	9189
2.000000	8422
2.000000	513
2.000000	6830
1.000000	37497
2.000000	15685
2.000000	50304
2.000000	680
2.000000	34781
2.000000	25220
2.000000	29075
2.000000	42708
2.000000	20932
2.000000	37239
2.000000	41497
2.000000	3257
2.000000	8218
2.000000	49463
2.000000	6461
2.000000	59689
2.000000	12779
1.000000	31424
2.000000	12654
2.000000	5539
2.000000	1273
2.000000	8763
2.000000	51395
2.000000	59891
2.000000	25091
2.000000	8426
2.000000	20764
2.000000	1853
2.000000	15605
2.000000	15576
1.000000	37640
2.000000	29140
2.000000	6881
2.000000	29686
2.000000	31122
2.000000	12637
2.000000	3333
2.000000	48526
2.000000	196621
2.000000	34019
2.000000	3303
2.000000	286
2.000000	29680
2.000000	8928
2.000000	1103
2.000000	2603
2.000000	28329
2.000000	20612
2.000000	1836
2.000000	57381
1.000000	8758
1.000000	5396
2.000000	35369
2.000000	8455
2.000000	202194
2.000000	198385
2.000000	29608
2.000000	6453
2.000000	6762
2.000000	7018
2.000000	25152
2.000000	6667
2.000000	24482
2.000000	33891
2.000000	4589
1.000000	202032
2.000000	15547
2.000000	6893
2.000000	2613
2.000000	553
2.000000	6720
2.000000	30844
