Class	Node Name
1.000000	16685
1.000000	22356
1.000000	4230
1.000000	7018
1.000000	2914
2.000000	6720
2.000000	1853
1.000000	15605
1.000000	12874
2.000000	29075
2.000000	57111
2.000000	202032
2.000000	3333
2.000000	12779
1.000000	1103
1.000000	3257
1.000000	22381
1.000000	53070
1.000000	4809
2.000000	20612
2.000000	9044
1.000000	15935
1.000000	174
1.000000	29504
1.000000	8167
1.000000	7738
1.000000	25933
1.000000	3491
1.000000	28513
1.000000	1299
2.000000	22652
1.000000	3356
1.000000	33891
1.000000	14061
2.000000	41095
1.000000	29222
1.000000	35054
2.000000	8607
1.000000	3549
2.000000	9002
1.000000	5396
2.000000	29608
2.000000	680
1.000000	49605
1.000000	52873
1.000000	4134
1.000000	262757
2.000000	58308
1.000000	37468
1.000000	52720
1.000000	37239
1.000000	47692
2.000000	8758
2.000000	8896
2.000000	12654
1.000000	28634
2.000000	51405
1.000000	35699
2.000000	39122
2.000000	6730
1.000000	31742
2.000000	4637
2.000000	6939
2.000000	198290
1.000000	29680
1.000000	8220
1.000000	3320
1.000000	15547
1.000000	5392
1.000000	3303
2.000000	13030
1.000000	327782
1.000000	37100
1.000000	327960
2.000000	39821
2.000000	34177
1.000000	28917
1.000000	513
2.000000	196621
1.000000	9304
2.000000	56730
2.000000	1221
2.000000	4608
2.000000	20562
1.000000	43578
1.000000	6667
1.000000	23106
1.000000	52320
1.000000	23148
1.000000	25152
1.000000	701
1.000000	3267
1.000000	2895
1.000000	25091
1.000000	15435
2.000000	6881
1.000000	3252
2.000000	39351
1.000000	8943
1.000000	12956
1.000000	2828
1.000000	6762
1.000000	6453
2.000000	198385
2.000000	29686
2.000000	12859
1.000000	30132
2.000000	28929
1.000000	38930
1.000000	8283
2.000000	21232
1.000000	1251
1.000000	52888
1.000000	20080
1.000000	41497
1.000000	37497
1.000000	12637
1.000000	19151
1.000000	51185
1.000000	62663
1.000000	12350
1.000000	24482
1.000000	16735
1.000000	20764
1.000000	12389
1.000000	50877
1.000000	58299
1.000000	64463
1.000000	20932
2.000000	51395
2.000000	63297
2.000000	202194
1.000000	50763
2.000000	13237
2.000000	8222
2.000000	59414
2.000000	12307
2.000000	59891
2.000000	8426
1.000000	13760
2.000000	25160
2.000000	29691
2.000000	553
2.000000	59689
2.000000	34288
1.000000	395152
2.000000	25220
2.000000	16347
1.000000	25227
1.000000	41722
2.000000	31424
2.000000	12586
2.000000	1836
2.000000	286
2.000000	8218
2.000000	48526
2.000000	50300
1.000000	2497
1.000000	8455
1.000000	64050
1.000000	37271
1.000000	1916
1.000000	7575
1.000000	15562
1.000000	30844
2.000000	50304
2.000000	57381
2.000000	49463
2.000000	198249
1.000000	1280
2.000000	47147
1.000000	4777
1.000000	28220
2.000000	57821
2.000000	29140
2.000000	2613
